ensembl_gene_id	NC1	NC2	NORAD.kd	external_gene_name	gene_biotype	logFC	logCPM	LR	PValue	FDR
ENSG00000112237	14	9.1	74	CCNC	protein_coding	2.6	5	40	2.1e-10	3.7e-08
ENSG00000123989	5.3	3.9	35	CHPF	protein_coding	2.9	3.9	40	2.1e-10	3.7e-08
ENSG00000109736	2.6	1.7	22	MFSD10	protein_coding	3.3	3.2	40	2.6e-10	4.3e-08
ENSG00000129911	5.9	6.3	43	KLF16	protein_coding	2.8	4.2	40	2.7e-10	4.3e-08
ENSG00000139329	4.2	8.8	45	LUM	protein_coding	2.8	4.3	40	2.6e-10	4.3e-08
ENSG00000183291	21	20	110	SELENOF	protein_coding	2.5	5.7	40	2.6e-10	4.3e-08
ENSG00000197530	2	2	21	MIB2	protein_coding	3.4	3.1	40	2.5e-10	4.3e-08
ENSG00000178531	2.4	0.51	18	CTXN1	protein_coding	3.6	2.9	40	2.8e-10	4.5e-08
ENSG00000233514	9.4	8.1	0.23	AL356653.1	processed_pseudogene	-5.2	2.6	39	3.5e-10	5.5e-08
ENSG00000215030	5.8	6.8	43	RPL13P12	processed_pseudogene	2.8	4.2	39	3.7e-10	5.7e-08
ENSG00000100300	8.5	5.1	46	TSPO	protein_coding	2.7	4.3	39	4.7e-10	7.2e-08
ENSG00000197045	28	34	170	GMFB	protein_coding	2.5	6.3	39	4.9e-10	7.3e-08
ENSG00000108479	2.7	0.73	20	GALK1	protein_coding	3.4	3	39	5e-10	7.5e-08
ENSG00000180694	9.1	3.2	42	TMEM64	protein_coding	2.7	4.2	38	6.4e-10	9.3e-08
ENSG00000181061	5.9	2.5	32	HIGD1A	protein_coding	2.9	3.8	38	6.4e-10	9.3e-08
ENSG00000171222	3.8	4.3	31	SCAND1	protein_coding	2.9	3.7	38	6.9e-10	9.9e-08
ENSG00000186130	3.5	1.8	24	ZBTB6	protein_coding	3.2	3.3	38	7.2e-10	1e-07
ENSG00000198931	13	7.6	63	APRT	protein_coding	2.6	4.8	38	7.5e-10	1e-07
ENSG00000166575	4.7	2.4	28	TMEM135	protein_coding	3	3.6	38	7.8e-10	1.1e-07
ENSG00000169249	68	70	9.1	ZRSR2	protein_coding	-2.9	5.6	38	8.2e-10	1.1e-07
ENSG00000161682	1.1	1.7	16	FAM171A2	protein_coding	3.6	2.7	37	9.3e-10	1.2e-07
ENSG00000008710	11	12	66	PKD1	protein_coding	2.6	4.9	37	9.7e-10	1.3e-07
ENSG00000164109	21	36	150	MAD2L1	protein_coding	2.4	6.1	37	9.5e-10	1.3e-07
ENSG00000133265	8.6	8.4	52	HSPBP1	protein_coding	2.6	4.5	37	1.1e-09	1.4e-07
ENSG00000139921	32	26	160	TMX1	protein_coding	2.4	6.2	37	1.1e-09	1.4e-07
ENSG00000154001	31	26	150	PPP2R5E	protein_coding	2.4	6.1	37	1.2e-09	1.6e-07
ENSG00000172889	3.2	3.8	27	EGFL7	protein_coding	3	3.5	37	1.3e-09	1.6e-07
ENSG00000159069	8.5	6.5	47	FBXW5	protein_coding	2.6	4.4	36	1.6e-09	1.9e-07
ENSG00000180900	14	13	75	SCRIB	protein_coding	2.5	5.1	36	1.7e-09	2e-07
ENSG00000147813	1.2	0.22	10	NAPRT	protein_coding	3.7	2.1	36	2e-09	2.4e-07
ENSG00000104343	5.8	5.1	36	UBE2W	protein_coding	2.7	4	36	2.3e-09	2.6e-07
ENSG00000130193	2.9	1.8	21	THEM6	protein_coding	3.2	3.2	36	2.2e-09	2.6e-07
ENSG00000153936	12	14	71	HS2ST1	protein_coding	2.5	5	36	2.2e-09	2.6e-07
ENSG00000147894	5.1	4.8	33	C9orf72	protein_coding	2.8	3.9	36	2.5e-09	2.8e-07
ENSG00000169446	13	9.5	64	MMGT1	protein_coding	2.5	4.8	36	2.5e-09	2.8e-07
ENSG00000277462	0.86	1.4	13	ZNF670	protein_coding	3.6	2.4	36	2.5e-09	2.8e-07
ENSG00000115310	35	24	150	RTN4	protein_coding	2.3	6.1	35	2.6e-09	2.9e-07
ENSG00000135249	5.9	8.3	43	RINT1	protein_coding	2.6	4.3	35	2.7e-09	3e-07
ENSG00000000003	6	2.3	30	TSPAN6	protein_coding	2.8	3.7	35	2.9e-09	3.1e-07
ENSG00000105701	20	16	92	FKBP8	protein_coding	2.4	5.4	35	3e-09	3.2e-07
ENSG00000104408	110	31	400	EIF3E	protein_coding	2.5	7.5	35	3.3e-09	3.4e-07
ENSG00000121741	18	16	89	ZMYM2	protein_coding	2.4	5.4	35	3.7e-09	3.8e-07
ENSG00000153130	8.1	7.5	46	SCOC	protein_coding	2.6	4.4	35	3.7e-09	3.8e-07
ENSG00000164182	160	190	22	NDUFAF2	protein_coding	-3	7	34	4.3e-09	4.4e-07
ENSG00000164209	19	11	79	SLC25A46	protein_coding	2.4	5.2	34	4.4e-09	4.5e-07
ENSG00000111530	73	41	310	CAND1	protein_coding	2.5	7.2	34	4.8e-09	4.8e-07
ENSG00000115266	5.5	5.1	34	APC2	protein_coding	2.7	3.9	34	5.1e-09	5.1e-07
ENSG00000149313	35	36	180	AASDHPPT	protein_coding	2.3	6.4	34	5.8e-09	5.7e-07
ENSG00000101220	10	12	59	C20orf27	protein_coding	2.5	4.8	34	7e-09	6.8e-07
ENSG00000131584	20	28	110	ACAP3	protein_coding	2.2	5.8	34	7.1e-09	6.8e-07
ENSG00000152558	56	66	330	TMEM123	protein_coding	2.4	7.2	33	8e-09	7.7e-07
ENSG00000152944	6.9	3.7	33	MED21	protein_coding	2.6	3.9	33	8.5e-09	8.1e-07
ENSG00000170881	6.4	7.6	41	RNF139	protein_coding	2.5	4.2	33	8.6e-09	8.1e-07
ENSG00000169251	29	16	110	NMD3	protein_coding	2.2	5.7	33	1e-08	9.3e-07
ENSG00000125534	9.7	3.5	39	PPDPF	protein_coding	2.5	4.1	33	1e-08	9.5e-07
ENSG00000172785	45	51	6.7	CBWD1	protein_coding	-2.8	5.1	33	1e-08	9.5e-07
ENSG00000119787	18	17	87	ATL2	protein_coding	2.3	5.4	33	1.1e-08	9.7e-07
ENSG00000153339	3.5	6.2	31	TRAPPC8	protein_coding	2.7	3.8	33	1.1e-08	1e-06
ENSG00000033178	14	8.2	60	UBA6	protein_coding	2.4	4.8	32	1.2e-08	1.1e-06
ENSG00000072041	45	24	170	SLC6A15	protein_coding	2.3	6.3	32	1.3e-08	1.1e-06
ENSG00000100285	250	490	47	NEFH	protein_coding	-3	8.1	32	1.2e-08	1.1e-06
ENSG00000106460	17	14	79	TMEM106B	protein_coding	2.3	5.2	32	1.3e-08	1.1e-06
ENSG00000117395	480	710	72	EBNA1BP2	protein_coding	-3.1	8.7	32	1.3e-08	1.1e-06
ENSG00000114200	18	7.6	66	BCHE	protein_coding	2.4	4.9	32	1.4e-08	1.2e-06
ENSG00000148362	4	2	23	PAXX	protein_coding	2.9	3.3	32	1.4e-08	1.2e-06
ENSG00000169689	5.4	4.3	30	CENPX	protein_coding	2.6	3.8	32	1.6e-08	1.3e-06
ENSG00000198888	27000	32000	2600	MT-ND1	protein_coding	-3.5	14	32	1.6e-08	1.3e-06
ENSG00000129932	1.6	2	17	DOHH	protein_coding	3.2	2.8	32	1.7e-08	1.4e-06
ENSG00000168374	21	24	100	ARF4	protein_coding	2.2	5.6	32	1.6e-08	1.4e-06
ENSG00000174695	26	25	120	TMEM167A	protein_coding	2.2	5.8	32	1.6e-08	1.4e-06
ENSG00000165490	8.6	9.6	49	DDIAS	protein_coding	2.4	4.5	31	2e-08	1.6e-06
ENSG00000103326	8.8	12	54	CAPN15	protein_coding	2.4	4.6	31	2.1e-08	1.7e-06
ENSG00000080822	25	5.8	75	CLDND1	protein_coding	2.3	5.2	31	2.3e-08	1.8e-06
ENSG00000096092	3.3	2.5	22	TMEM14A	protein_coding	2.9	3.2	31	2.3e-08	1.8e-06
ENSG00000136051	16	17	78	WASHC4	protein_coding	2.3	5.2	31	2.3e-08	1.8e-06
ENSG00000165997	14	12	66	ARL5B	protein_coding	2.3	5	31	2.3e-08	1.8e-06
ENSG00000119326	24	18	97	CTNNAL1	protein_coding	2.2	5.6	31	2.5e-08	1.9e-06
ENSG00000198677	43	21	150	TTC37	protein_coding	2.2	6.1	31	2.4e-08	1.9e-06
ENSG00000141933	0.48	1.4	9.9	TPGS1	protein_coding	3.5	2.1	31	2.8e-08	2.1e-06
ENSG00000180806	35	48	5.9	HOXC9	protein_coding	-2.8	4.9	31	2.8e-08	2.1e-06
ENSG00000108960	8	4.1	35	MMD	protein_coding	2.5	4	31	3e-08	2.3e-06
ENSG00000055917	61	28	220	PUM2	protein_coding	2.3	6.7	31	3.3e-08	2.4e-06
ENSG00000115286	11	8.9	51	NDUFS7	protein_coding	2.4	4.6	31	3.2e-08	2.4e-06
ENSG00000142327	3.6	5.9	29	RNPEPL1	protein_coding	2.6	3.7	30	3.4e-08	2.4e-06
ENSG00000181915	11	2.7	39	ADO	protein_coding	2.4	4.2	31	3.2e-08	2.4e-06
ENSG00000139977	6.5	5.1	33	NAA30	protein_coding	2.5	3.9	30	3.4e-08	2.5e-06
ENSG00000166266	26	24	110	CUL5	protein_coding	2.1	5.7	30	3.5e-08	2.5e-06
ENSG00000172795	29	16	100	DCP2	protein_coding	2.1	5.6	30	4.1e-08	2.9e-06
ENSG00000065268	7.8	6.3	38	WDR18	protein_coding	2.4	4.2	30	4.3e-08	3e-06
ENSG00000139684	23	6.1	70	ESD	protein_coding	2.3	5.1	30	4.4e-08	3e-06
ENSG00000170855	4.2	5.1	28	TRIAP1	protein_coding	2.6	3.7	30	4.2e-08	3e-06
ENSG00000137040	9.8	5.7	41	RANBP6	protein_coding	2.4	4.3	30	4.5e-08	3.1e-06
ENSG00000127995	6.8	7.5	38	CASD1	protein_coding	2.4	4.2	30	4.7e-08	3.2e-06
ENSG00000186106	11	9.3	52	ANKRD46	protein_coding	2.3	4.6	30	4.7e-08	3.2e-06
ENSG00000007541	8.2	4.5	35	PIGQ	protein_coding	2.5	4	30	4.9e-08	3.3e-06
ENSG00000161970	920	600	99	RPL26	protein_coding	-2.9	9.1	30	5.3e-08	3.5e-06
ENSG00000167508	3.9	4.7	26	MVD	protein_coding	2.6	3.6	30	5.3e-08	3.5e-06
ENSG00000114480	12	7	48	GBE1	protein_coding	2.3	4.5	29	5.6e-08	3.7e-06
ENSG00000119414	26	8.7	81	PPP6C	protein_coding	2.2	5.3	29	5.7e-08	3.7e-06
ENSG00000133119	22	22	96	RFC3	protein_coding	2.1	5.5	29	5.9e-08	3.8e-06
ENSG00000156171	8.1	6.8	39	DRAM2	protein_coding	2.4	4.2	29	5.9e-08	3.8e-06
ENSG00000169972	2.8	1.8	18	PUSL1	protein_coding	3	3	29	5.8e-08	3.8e-06
ENSG00000136490	11	8.7	50	LIMD2	protein_coding	2.3	4.6	29	6.3e-08	4e-06
ENSG00000160360	20	18	84	GPSM1	protein_coding	2.2	5.3	29	6.7e-08	4.2e-06
ENSG00000205542	12	5.9	45	TMSB4X	protein_coding	2.3	4.4	29	6.6e-08	4.2e-06
ENSG00000102309	120	140	21	PIN4	protein_coding	-2.6	6.5	29	7.1e-08	4.4e-06
ENSG00000118564	9.3	7.3	42	FBXL5	protein_coding	2.4	4.3	29	7.2e-08	4.5e-06
ENSG00000007376	6.9	3.7	30	RPUSD1	protein_coding	2.5	3.8	29	7.6e-08	4.6e-06
ENSG00000103275	880	1400	150	UBE2I	protein_coding	-3	9.7	29	7.4e-08	4.6e-06
ENSG00000177565	61	26	200	TBL1XR1	protein_coding	2.2	6.6	29	7.5e-08	4.6e-06
ENSG00000138600	14	11	59	SPPL2A	protein_coding	2.3	4.8	29	7.7e-08	4.7e-06
ENSG00000145337	5.8	6.9	34	PYURF	protein_coding	2.4	4	29	8e-08	4.8e-06
ENSG00000122958	15	14	68	VPS26A	protein_coding	2.2	5	29	8.3e-08	5e-06
ENSG00000126653	320	350	50	NSRP1	protein_coding	-2.8	7.9	29	8.7e-08	5.2e-06
ENSG00000167775	17	19	80	CD320	protein_coding	2.2	5.3	29	8.7e-08	5.2e-06
ENSG00000100644	120	110	570	HIF1A	protein_coding	2.3	8.1	28	9.5e-08	5.6e-06
ENSG00000176978	25	18	94	DPP7	protein_coding	2.1	5.5	28	9.5e-08	5.6e-06
ENSG00000198134	8.1	7.3	0.44	AC007537.1	processed_pseudogene	-4.1	2.4	28	9.4e-08	5.6e-06
ENSG00000165632	120	100	19	TAF3	protein_coding	-2.5	6.3	28	1e-07	5.8e-06
ENSG00000129128	31	24	120	SPCS3	protein_coding	2.1	5.8	28	1.1e-07	6e-06
ENSG00000173638	5.8	6.5	33	SLC19A1	protein_coding	2.4	3.9	28	1e-07	6e-06
ENSG00000254093	51	86	13	PINX1	protein_coding	-2.5	5.6	28	1.1e-07	6e-06
ENSG00000186908	16	14	69	ZDHHC17	protein_coding	2.2	5.1	28	1.1e-07	6.2e-06
ENSG00000132329	14	4.2	45	RAMP1	protein_coding	2.3	4.4	28	1.2e-07	6.6e-06
ENSG00000164830	4.6	3.6	25	OXR1	protein_coding	2.6	3.5	28	1.2e-07	6.7e-06
ENSG00000082996	7.4	8.7	40	RNF13	protein_coding	2.3	4.2	28	1.2e-07	6.8e-06
ENSG00000105404	5.2	5.6	30	RABAC1	protein_coding	2.5	3.8	28	1.3e-07	7.4e-06
ENSG00000104231	6	6.9	34	ZFAND1	protein_coding	2.4	4	28	1.4e-07	7.6e-06
ENSG00000115084	4.9	3.2	25	SLC35F5	protein_coding	2.6	3.5	28	1.4e-07	7.6e-06
ENSG00000136021	14	7.1	50	SCYL2	protein_coding	2.2	4.6	28	1.4e-07	7.6e-06
ENSG00000249353	29	53	6.5	NPM1P27	processed_pseudogene	-2.6	4.9	28	1.4e-07	7.6e-06
ENSG00000131188	2.4	3.1	19	PRR7	protein_coding	2.8	3.1	28	1.4e-07	7.7e-06
ENSG00000100359	5.2	4.9	28	SGSM3	protein_coding	2.5	3.7	28	1.5e-07	7.9e-06
ENSG00000187796	2.8	2.5	19	CARD9	protein_coding	2.8	3.1	28	1.5e-07	8.1e-06
ENSG00000106009	13	11	56	BRAT1	protein_coding	2.2	4.7	28	1.5e-07	8.2e-06
ENSG00000168283	7.7	10	44	BMI1	protein_coding	2.3	4.4	27	1.7e-07	9.1e-06
ENSG00000107404	15	11	61	DVL1	protein_coding	2.2	4.9	27	1.7e-07	9.2e-06
ENSG00000139826	5.5	1.1	22	ABHD13	protein_coding	2.7	3.3	27	1.8e-07	9.3e-06
ENSG00000143742	59	70	290	SRP9	protein_coding	2.2	7.1	27	1.8e-07	9.6e-06
ENSG00000100258	5.5	4.6	28	LMF2	protein_coding	2.5	3.7	27	1.9e-07	9.7e-06
ENSG00000166963	290	970	93	MAP1A	protein_coding	-2.8	8.8	27	1.9e-07	9.8e-06
ENSG00000134597	160	170	28	RBMX2	protein_coding	-2.6	6.9	27	1.9e-07	1e-05
ENSG00000077147	38	60	210	TM9SF3	protein_coding	2.1	6.7	27	2.3e-07	1.2e-05
ENSG00000121579	66	67	300	NAA50	protein_coding	2.2	7.2	27	2.4e-07	1.2e-05
ENSG00000145050	160	260	34	MANF	protein_coding	-2.6	7.2	27	2.3e-07	1.2e-05
ENSG00000198924	9.6	7.8	42	DCLRE1A	protein_coding	2.3	4.3	27	2.3e-07	1.2e-05
ENSG00000113141	530	590	86	IK	protein_coding	-2.7	8.6	26	2.7e-07	1.3e-05
ENSG00000121879	9.6	3.7	34	PIK3CA	protein_coding	2.3	4	26	2.7e-07	1.3e-05
ENSG00000156411	42	11	110	C14orf2	protein_coding	2	5.7	27	2.6e-07	1.3e-05
ENSG00000165338	5.1	6.1	29	HECTD2	protein_coding	2.4	3.8	26	2.7e-07	1.3e-05
ENSG00000136536	14	19	70	MARCH7	protein_coding	2.1	5.1	26	2.8e-07	1.4e-05
ENSG00000163527	37	18	110	STT3B	protein_coding	2	5.8	26	2.8e-07	1.4e-05
ENSG00000033867	9.2	8	41	SLC4A7	protein_coding	2.2	4.3	26	3.1e-07	1.5e-05
ENSG00000105135	14	10	55	ILVBL	protein_coding	2.2	4.8	26	3e-07	1.5e-05
ENSG00000144935	3.6	1.6	18	TRPC1	protein_coding	2.8	3	26	3.2e-07	1.5e-05
ENSG00000167088	590	520	86	SNRPD1	protein_coding	-2.7	8.6	26	3.1e-07	1.5e-05
ENSG00000170385	24	17	85	SLC30A1	protein_coding	2	5.4	26	3.2e-07	1.5e-05
ENSG00000174738	10	5.8	38	NR1D2	protein_coding	2.3	4.2	26	3.2e-07	1.5e-05
ENSG00000109184	19	21	83	DCUN1D4	protein_coding	2	5.4	26	3.5e-07	1.6e-05
ENSG00000118855	13	9.2	49	MFSD1	protein_coding	2.2	4.6	26	3.3e-07	1.6e-05
ENSG00000134352	51	26	160	IL6ST	protein_coding	2	6.3	26	3.4e-07	1.6e-05
ENSG00000152520	3.6	3.4	21	PAN3	protein_coding	2.6	3.3	26	3.5e-07	1.6e-05
ENSG00000156136	6.8	12	42	DCK	protein_coding	2.2	4.4	26	3.5e-07	1.6e-05
ENSG00000172366	4.9	3.7	24	MCRIP2	protein_coding	2.5	3.5	26	3.4e-07	1.6e-05
ENSG00000248333	160	180	30	CDK11B	protein_coding	-2.5	6.9	26	3.6e-07	1.6e-05
ENSG00000010219	38	58	8.6	DYRK4	protein_coding	-2.5	5.1	26	3.9e-07	1.7e-05
ENSG00000082898	61	92	340	XPO1	protein_coding	2.1	7.4	26	3.7e-07	1.7e-05
ENSG00000124406	16	15	67	ATP8A1	protein_coding	2.1	5	26	3.8e-07	1.7e-05
ENSG00000137970	19	12	1.9	RPL7P9	processed_pseudogene	-3.1	3.5	26	3.8e-07	1.7e-05
ENSG00000140259	310	390	58	MFAP1	protein_coding	-2.6	8	26	3.8e-07	1.7e-05
ENSG00000158985	6.8	4.5	29	CDC42SE2	protein_coding	2.4	3.8	26	3.9e-07	1.7e-05
ENSG00000182087	16	19	73	TMEM259	protein_coding	2.1	5.2	26	3.8e-07	1.7e-05
ENSG00000118181	3100	2500	380	RPS25	protein_coding	-2.9	11	26	4.2e-07	1.8e-05
ENSG00000139687	18	19	75	RB1	protein_coding	2.1	5.2	26	4.1e-07	1.8e-05
ENSG00000149541	3.9	3.5	22	B3GAT3	protein_coding	2.6	3.3	26	4.1e-07	1.8e-05
ENSG00000152332	28	32	120	UHMK1	protein_coding	2	5.9	26	4.1e-07	1.8e-05
ENSG00000168216	4.5	1.1	19	LMBRD1	protein_coding	2.7	3.1	26	4.1e-07	1.8e-05
ENSG00000181704	13	12	56	YIPF6	protein_coding	2.1	4.8	26	4.3e-07	1.9e-05
ENSG00000196950	25	18	87	SLC39A10	protein_coding	2	5.4	25	4.5e-07	1.9e-05
ENSG00000103260	2.1	2.7	17	METRN	protein_coding	2.8	2.9	25	4.7e-07	2e-05
ENSG00000166845	3.4	3.8	21	C18orf54	protein_coding	2.6	3.3	25	4.7e-07	2e-05
ENSG00000167747	23	19	85	C19orf48	protein_coding	2	5.4	25	5.1e-07	2.1e-05
ENSG00000185803	1.9	2	14	SLC52A2	protein_coding	2.9	2.7	25	5e-07	2.1e-05
ENSG00000079819	6.2	16	1	EPB41L2	protein_coding	-3.4	2.9	25	5.1e-07	2.2e-05
ENSG00000100241	14	19	68	SBF1	protein_coding	2.1	5.1	25	5.2e-07	2.2e-05
ENSG00000115514	4.6	3.6	23	TXNDC9	protein_coding	2.5	3.4	25	5.9e-07	2.4e-05
ENSG00000131187	2.2	1.3	13	F12	protein_coding	2.9	2.6	25	5.8e-07	2.4e-05
ENSG00000151239	10	9	43	TWF1	protein_coding	2.2	4.4	25	5.8e-07	2.4e-05
ENSG00000170638	8.7	5.7	34	TRABD	protein_coding	2.2	4	25	5.7e-07	2.4e-05
ENSG00000185504	9.2	7.9	39	FAAP100	protein_coding	2.2	4.2	25	5.9e-07	2.4e-05
ENSG00000242173	7.3	5.4	31	ARHGDIG	protein_coding	2.3	3.9	25	5.8e-07	2.4e-05
ENSG00000171425	2.6	1.8	16	ZNF581	protein_coding	2.8	2.8	25	6.2e-07	2.5e-05
ENSG00000173915	24	13	76	USMG5	protein_coding	2	5.2	25	6.1e-07	2.5e-05
ENSG00000182220	30	25	110	ATP6AP2	protein_coding	1.9	5.7	25	6.2e-07	2.5e-05
ENSG00000051523	12	5.5	39	CYBA	protein_coding	2.2	4.3	25	6.5e-07	2.6e-05
ENSG00000063241	11	6.5	41	ISOC2	protein_coding	2.2	4.3	25	6.6e-07	2.6e-05
ENSG00000155636	1.3	1.7	11	RBM45	protein_coding	3	2.3	25	6.5e-07	2.6e-05
ENSG00000162066	3.1	2.3	18	AMDHD2	protein_coding	2.7	3	25	6.4e-07	2.6e-05
ENSG00000169018	29	28	110	FEM1B	protein_coding	1.9	5.8	25	6.5e-07	2.6e-05
ENSG00000173208	13	13	56	ABCD2	protein_coding	2.1	4.8	25	6.4e-07	2.6e-05
ENSG00000053770	14	17	64	AP5M1	protein_coding	2.1	5	25	7.1e-07	2.8e-05
ENSG00000087301	13	14	57	TXNDC16	protein_coding	2.1	4.8	25	7e-07	2.8e-05
ENSG00000111348	3.9	10	0.52	ARHGDIB	protein_coding	-3.8	2.3	25	7.4e-07	2.8e-05
ENSG00000124228	320	450	66	DDX27	protein_coding	-2.5	8.1	25	7.1e-07	2.8e-05
ENSG00000135535	45	38	160	CD164	protein_coding	2	6.4	25	7.3e-07	2.8e-05
ENSG00000145220	190	220	37	LYAR	protein_coding	-2.5	7.2	25	7.2e-07	2.8e-05
ENSG00000178966	8.9	7.2	37	RMI1	protein_coding	2.2	4.2	25	7.2e-07	2.8e-05
ENSG00000184281	2.3	1.2	13	TSSC4	protein_coding	2.9	2.5	25	7.2e-07	2.8e-05
ENSG00000244486	3.6	2.5	19	SCARF2	protein_coding	2.6	3.1	24	7.5e-07	2.9e-05
ENSG00000047346	8.5	5.1	32	FAM214A	protein_coding	2.2	4	24	8e-07	3e-05
ENSG00000262902	13	1.4	0.54	MTCO1P40	processed_pseudogene	-3.7	2.3	24	7.9e-07	3e-05
